"","campus_building","worksite","report_date","location","potential_exposure_dates","start","end","standardized_exposure_dates","geometry"
"7482","California Animal Health & Food Safety Lab, Tulare","California Animal Health & Food Safety Lab, Tulare","06-14","Davis campus","06/13/2022","2022-06-13","2022-06-13","2022-06-14",list()
"7483","California Animal Health & Food Safety, Tulare","California Animal Health & Food Safety, Tulare","07-14","Off campus","07/12/2022
 - 07/13/2022","2022-07-12","2022-07-13","2022-07-14",list()
"7484","California Animal Health and Food Safety","California Animal Health and Food Safety","07-12","Davis campus","07/05/2022
 - 07/08/2022","2022-07-05","2022-07-08","2022-07-12",list()
"7485","California Animal Health and Food Safety","California Animal Health and Food Safety","09-22","Davis campus","09/20/2022
 - 09/21/2022","2022-09-20","2022-09-21","2022-09-22",list()
"7486","California Animal Health and Food Safety","California Animal Health and Food Safety","09-22","Davis campus","09/20/2022
 - 09/21/2022","2022-09-20","2022-09-21","2022-09-22",list()
"7487","California Animal Health and Food Safety","California Animal Health and Food Safety","07-12","Davis campus","07/05/2022
 - 07/08/2022","2022-07-05","2022-07-08","2022-07-12",list()
"9363","California Lighting Technology Center","California Lighting Technology Center","06-24","Davis city","06/21/2022
 - 06/22/2022","2022-06-21","2022-06-22","2022-06-24",list()
"9364","Center for Aquatic Biology and Aquaculture","Center for Aquatic Biology and Aquaculture","09-02","Davis campus","09/01/2022","2022-09-01","2022-09-01","2022-09-02",list()
"9365","Center for Aquatic Biology and Aquaculture","Center for Aquatic Biology and Aquaculture","09-02","Davis campus","09/01/2022","2022-09-01","2022-09-01","2022-09-02",list()
"9366","Center for Aquatic Biology and Aquaculture","Center for Aquatic Biology and Aquaculture","09-02","Davis campus","09/01/2022","2022-09-01","2022-09-01","2022-09-02",list()
"9367","Center for Aquatic Biology and Aquaculture","Center for Aquatic Biology and Aquaculture","04-25","Davis campus","04/20/2022","2022-04-20","2022-04-20","2022-04-25",list()
"9368","Center for Aquatic Biology and Aquaculture","Center for Aquatic Biology and Aquaculture","04-25","Davis campus","04/20/2022","2022-04-20","2022-04-20","2022-04-25",list()
"9369","Center for Aquatic Biology and Aquaculture","Center for Aquatic Biology and Aquaculture","04-25","Davis campus","04/20/2022","2022-04-20","2022-04-20","2022-04-25",list()
"9370","Center for Aquatic Biology and Aquaculture","Center for Aquatic Biology and Aquaculture","07-05","Davis campus","06/29/2022
 - 06/30/2022","2022-06-29","2022-06-30","2022-07-05",list()
"9371","Center for Aquatic Biology and Aquaculture","Center for Aquatic Biology and Aquaculture","07-05","Davis campus","06/29/2022
 - 06/30/2022","2022-06-29","2022-06-30","2022-07-05",list()
"9372","Center for Aquatic Biology and Aquaculture","Center for Aquatic Biology and Aquaculture","07-05","Davis campus","06/29/2022
 - 06/30/2022","2022-06-29","2022-06-30","2022-07-05",list()
"9373","Center for Child and Family Studies","Center for Child and Family Studies","02-03","Davis city","02/02/2022","2022-02-02","2022-02-02","2022-02-03",list()
"9609","Center for Geotechnical Modeling","Center for Geotechnical Modeling","07-26","Davis campus","07/22/2022","2022-07-22","2022-07-22","2022-07-26",list()
"9611","Center for Health and the Environment","Center for Health and the Environment","09-02","Davis campus","08/30/2022","2022-08-30","2022-08-30","2022-09-02",list()
"9612","Center for Health and the Environment","Center for Health and the Environment","09-02","Davis campus","08/30/2022","2022-08-30","2022-08-30","2022-09-02",list()
"9613","Center for Health and the Environment","Center for Health and the Environment","09-02","Davis campus","08/30/2022","2022-08-30","2022-08-30","2022-09-02",list()
"9614","Center for Health and the Environment","Center for Health and the Environment","05-23","Davis campus","05/23/2022","2022-05-23","2022-05-23","2022-05-23",list()
"9615","Center for Health and the Environment","Center for Health and the Environment","05-23","Davis campus","05/23/2022","2022-05-23","2022-05-23","2022-05-23",list()
"9616","Center for Health and the Environment","Center for Health and the Environment","05-23","Davis campus","05/23/2022","2022-05-23","2022-05-23","2022-05-23",list()
"9617","Center for Health and the Environment","Center for Health and the Environment","09-02","Davis campus","09/01/2022","2022-09-01","2022-09-01","2022-09-02",list()
"9618","Center for Health and the Environment","Center for Health and the Environment","09-02","Davis campus","09/01/2022","2022-09-01","2022-09-01","2022-09-02",list()
"9619","Center for Health and the Environment","Center for Health and the Environment","09-02","Davis campus","09/01/2022","2022-09-01","2022-09-01","2022-09-02",list()
"9620","Center for Mind and Brain","Center for Mind and Brain","06-06","Davis city","06/03/2022","2022-06-03","2022-06-03","2022-06-06",list()
"9621","Center for Mind and Brain","Center for Mind and Brain","06-06","Davis city","06/03/2022","2022-06-03","2022-06-03","2022-06-06",list()
"9622","Center for Mind and Brain","Center for Mind and Brain","05-25","Davis city","05/24/2022","2022-05-24","2022-05-24","2022-05-25",list()
"9623","Center for Mind and Brain","Center for Mind and Brain","05-25","Davis city","05/24/2022","2022-05-24","2022-05-24","2022-05-25",list()
"9624","Center for Mind and Brain","Center for Mind and Brain","05-25","Davis city","05/24/2022","2022-05-24","2022-05-24","2022-05-25",list()
"9625","Center for Mind and Brain","Center for Mind and Brain","06-06","Davis city","06/03/2022","2022-06-03","2022-06-03","2022-06-06",list()
"9626","Center for Mind and Brain","Center for Mind and Brain","01-21","Davis campus","01/20/2022","2022-01-20","2022-01-20","2022-01-21",list()
"9627","Center for Mind and Brain","Center for Mind and Brain","01-21","Davis campus","01/20/2022","2022-01-20","2022-01-20","2022-01-21",list()
"9628","Center for Mind and Brain","Center for Mind and Brain","01-21","Davis campus","01/20/2022","2022-01-20","2022-01-20","2022-01-21",list()
"9680","Center for Watershed Sciences","Center for Watershed Sciences","07-07","Davis campus","07/05/2022","2022-07-05","2022-07-05","2022-07-07",list()
"9682","Central Heating & Cooling Plant","Central Heating & Cooling Plant","07-18","Davis campus","07/13/2022
 - 07/15/2022","2022-07-13","2022-07-15","2022-07-18",list()
"9683","Central Heating & Cooling Plant","Central Heating & Cooling Plant","07-18","Davis campus","07/13/2022
 - 07/15/2022","2022-07-13","2022-07-15","2022-07-18",list()
"9684","Central Heating & Cooling Plant","Central Heating & Cooling Plant","08-29","Davis campus","08/27/2022","2022-08-27","2022-08-27","2022-08-29",list()
"9685","Central Heating & Cooling Plant","Central Heating & Cooling Plant","08-29","Davis campus","08/27/2022","2022-08-27","2022-08-27","2022-08-29",list()
"9686","Central Receiving","Central Receiving","09-06","Davis campus","09/01/2022","2022-09-01","2022-09-01","2022-09-06",list()
"11567","Coffee House (COHO)","Coffee House (COHO)","09-21","Davis campus","09/16/2022","2022-09-16","2022-09-16","2022-09-21",list()
"11569","Communication Resources Building","Communication Resources Building","08-19","Davis campus","08/17/2022","2022-08-17","2022-08-17","2022-08-19",list()
"11570","Communication Resources Building","Communication Resources Building","08-19","Davis campus","08/17/2022","2022-08-17","2022-08-17","2022-08-19",list()
"11571","Communication Resources Building","Communication Resources Building","08-22","Davis campus","08/17/2022","2022-08-17","2022-08-17","2022-08-22",list()
"11572","Communication Resources Building","Communication Resources Building","08-22","Davis campus","08/17/2022","2022-08-17","2022-08-17","2022-08-22",list()
"12433","Cuarto Building","Cuarto Building","08-12","Davis campus","08/09/2022","2022-08-09","2022-08-09","2022-08-12",list()
"13242","Cuarto Dining Hall","Cuarto Dining Hall","05-19","Davis campus","05/19/2022","2022-05-19","2022-05-19","2022-05-19",list()
"13243","Cuarto Residence Halls","Cuarto Residence Halls","05-23","Davis campus","05/21/2022","2022-05-21","2022-05-21","2022-05-23",list()
"13244","Custodial  Services","Custodial  Services","09-16","Davis campus","09/14/2022","2022-09-14","2022-09-14","2022-09-16",list()
"13245","Custodial Building","Custodial Building","06-28","Davis campus","06/26/2022","2022-06-26","2022-06-26","2022-06-28",list()
"13246","Custodial Building","Custodial Building","08-30","Davis campus","08/26/2022","2022-08-26","2022-08-26","2022-08-30",list()
"13247","Custodial Building","Custodial Building","08-05","Davis campus","08/03/2022","2022-08-03","2022-08-03","2022-08-05",list()
"13248","Custodial Building","Custodial Building","08-05","Davis campus","08/03/2022","2022-08-03","2022-08-03","2022-08-05",list()
"13249","Custodial Building","Custodial Building","06-28","Davis campus","06/26/2022","2022-06-26","2022-06-26","2022-06-28",list()
"13250","Custodial Building","Custodial Building","06-28","Davis campus","06/26/2022","2022-06-26","2022-06-26","2022-06-28",list()
"13251","Custodial Building","Custodial Building","08-30","Davis campus","08/26/2022","2022-08-26","2022-08-26","2022-08-30",list()
"13252","Custodial Building","Custodial Building","08-30","Davis campus","08/26/2022","2022-08-26","2022-08-26","2022-08-30",list()
"13253","Custodial Building","Custodial Building","08-05","Davis campus","08/03/2022","2022-08-03","2022-08-03","2022-08-05",list()
"13254","Custodial Services","Custodial Services","07-19","Davis campus","07/18/2022","2022-07-18","2022-07-18","2022-07-19",list()
"13255","Custodial Services","Custodial Services","07-21","Davis campus","07/18/2022","2022-07-18","2022-07-18","2022-07-21",list()
"13256","Custodial Services","Custodial Services","07-21","Davis campus","07/18/2022","2022-07-18","2022-07-18","2022-07-21",list()
"13257","Custodial Services","Custodial Services","07-19","Davis campus","07/18/2022","2022-07-18","2022-07-18","2022-07-19",list()
"13258","Custodial Services","Custodial Services","07-19","Davis campus","07/18/2022","2022-07-18","2022-07-18","2022-07-19",list()
"13259","Custodial Services","Custodial Services","07-05","Davis campus","06/27/2022
 - 06/30/2022","2022-06-27","2022-06-30","2022-07-05",list()
"13260","Custodial Services","Custodial Services","07-05","Davis campus","06/27/2022
 - 06/30/2022","2022-06-27","2022-06-30","2022-07-05",list()
"13261","Custodial Services","Custodial Services","07-05","Davis campus","06/27/2022
 - 06/30/2022","2022-06-27","2022-06-30","2022-07-05",list()
"13262","Custodial Services","Custodial Services","07-21","Davis campus","07/18/2022","2022-07-18","2022-07-18","2022-07-21",list()
"13263","Custodial Services Building","Custodial Services Building","07-26","Davis campus","07/21/2022","2022-07-21","2022-07-21","2022-07-26",list()
"13264","Custodial Services Building","Custodial Services Building","08-23","Davis campus","08/19/2022","2022-08-19","2022-08-19","2022-08-23",list()
"13265","Custodial Services Building","Custodial Services Building","08-23","Davis campus","08/19/2022","2022-08-19","2022-08-19","2022-08-23",list()
"13266","Custodial Services Building","Custodial Services Building","07-26","Davis campus","07/21/2022","2022-07-21","2022-07-21","2022-07-26",list()
"13267","Custodial Services Building","Custodial Services Building","08-31","Davis campus","08/29/2022","2022-08-29","2022-08-29","2022-08-31",list()
"13268","Custodial Services Building","Custodial Services Building","08-31","Davis campus","08/29/2022","2022-08-29","2022-08-29","2022-08-31",list()
"13269","Custodial Services Building","Custodial Services Building","09-01","Davis campus","08/26/2022","2022-08-26","2022-08-26","2022-09-01",list()
"13270","Custodial Services Building","Custodial Services Building","08-23","Davis campus","08/19/2022","2022-08-19","2022-08-19","2022-08-23",list()
"13271","Custodial Services Building","Custodial Services Building","07-26","Davis campus","07/21/2022","2022-07-21","2022-07-21","2022-07-26",list()
"13272","Custodial Services Building","Custodial Services Building","07-26","Davis campus","07/21/2022","2022-07-21","2022-07-21","2022-07-26",list()
"13273","Custodial Services Building","Custodial Services Building","09-01","Davis campus","08/26/2022","2022-08-26","2022-08-26","2022-09-01",list()
"13274","Custodial Services Building","Custodial Services Building","08-23","Davis campus","08/19/2022","2022-08-19","2022-08-19","2022-08-23",list()
"13275","Custodial Services Building","Custodial Services Building","09-01","Davis campus","08/26/2022","2022-08-26","2022-08-26","2022-09-01",list()
"13276","Custodial Services Building","Custodial Services Building","08-31","Davis campus","08/29/2022","2022-08-29","2022-08-29","2022-08-31",list()
"13277","Custodial Services Building","Custodial Services Building","08-31","Davis campus","08/29/2022","2022-08-29","2022-08-29","2022-08-31",list()
"13278","Custodial Services Building","Custodial Services Building","09-01","Davis campus","08/26/2022","2022-08-26","2022-08-26","2022-09-01",list()
"13279","Da Vinci Court","Da Vinci Court","02-23","Davis city","02/22/2022","2022-02-22","2022-02-22","2022-02-23",list()
"13285","Design & Construction Management","Design & Construction Management","01-18","Davis campus","01/18/2022","2022-01-18","2022-01-18","2022-01-18",list()
"13368","Dutton Hall, Room 1200","Dutton Hall, Room 1200","05-04","Davis campus","05/03/2022","2022-05-03","2022-05-03","2022-05-04",list()
"13369","Earth & Physical Sciences","Earth & Physical Sciences","05-05","Davis campus","05/04/2022","2022-05-04","2022-05-04","2022-05-05",list()
"13370","Earth & Physical Sciences","Earth & Physical Sciences","05-05","Davis campus","05/04/2022","2022-05-04","2022-05-04","2022-05-05",list()
"13371","Earth & Physical Sciences","Earth & Physical Sciences","05-09","Davis campus","05/05/2022","2022-05-05","2022-05-05","2022-05-09",list()
"13372","Earth & Physical Sciences","Earth & Physical Sciences","05-27","Davis campus","05/25/2022","2022-05-25","2022-05-25","2022-05-27",list()
"13373","Earth & Physical Sciences","Earth & Physical Sciences","05-27","Davis campus","05/25/2022","2022-05-25","2022-05-25","2022-05-27",list()
"13374","Earth & Physical Sciences","Earth & Physical Sciences","05-11","Davis campus","05/09/2022","2022-05-09","2022-05-09","2022-05-11",list()
"13375","Earth & Physical Sciences","Earth & Physical Sciences","05-27","Davis campus","05/25/2022","2022-05-25","2022-05-25","2022-05-27",list()
"13376","Earth & Physical Sciences","Earth & Physical Sciences","05-11","Davis campus","05/09/2022","2022-05-09","2022-05-09","2022-05-11",list()
"13377","Earth & Physical Sciences","Earth & Physical Sciences","05-27","Davis campus","05/25/2022","2022-05-25","2022-05-25","2022-05-27",list()
"13378","Earth & Physical Sciences","Earth & Physical Sciences","05-05","Davis campus","05/04/2022","2022-05-04","2022-05-04","2022-05-05",list()
"13379","Earth & Physical Sciences","Earth & Physical Sciences","05-05","Davis campus","05/04/2022","2022-05-04","2022-05-04","2022-05-05",list()
"13380","Earth & Physical Sciences","Earth & Physical Sciences","05-11","Davis campus","05/09/2022","2022-05-09","2022-05-09","2022-05-11",list()
"13381","Earth & Physical Sciences","Earth & Physical Sciences","05-09","Davis campus","05/05/2022","2022-05-05","2022-05-05","2022-05-09",list()
"13382","Earth & Physical Sciences","Earth & Physical Sciences","05-09","Davis campus","05/05/2022","2022-05-05","2022-05-05","2022-05-09",list()
"13383","Earth & Physical Sciences","Earth & Physical Sciences","05-11","Davis campus","05/09/2022","2022-05-09","2022-05-09","2022-05-11",list()
"13384","Earth & Physical Sciences","Earth & Physical Sciences","05-09","Davis campus","05/05/2022","2022-05-05","2022-05-05","2022-05-09",list()
"13385","Earth & Physical Sciences Building","Earth & Physical Sciences Building","09-26","Davis campus","09/22/2022","2022-09-22","2022-09-22","2022-09-26",list()
"13386","Earth & Physical Sciences Building","Earth & Physical Sciences Building","05-16","Davis campus","05/10/2022","2022-05-10","2022-05-10","2022-05-16",list()
"13387","Earth & Physical Sciences Building","Earth & Physical Sciences Building","09-26","Davis campus","09/22/2022","2022-09-22","2022-09-22","2022-09-26",list()
"13388","Earth & Physical Sciences Building","Earth & Physical Sciences Building","06-28","Davis campus","06/22/2022
 - 06/23/2022","2022-06-22","2022-06-23","2022-06-28",list()
"13389","Earth & Physical Sciences Building","Earth & Physical Sciences Building","06-28","Davis campus","06/22/2022
 - 06/23/2022","2022-06-22","2022-06-23","2022-06-28",list()
"13390","Earth & Physical Sciences Building","Earth & Physical Sciences Building","09-26","Davis campus","09/22/2022","2022-09-22","2022-09-22","2022-09-26",list()
"13391","Earth & Physical Sciences Building","Earth & Physical Sciences Building","06-28","Davis campus","06/22/2022
 - 06/23/2022","2022-06-22","2022-06-23","2022-06-28",list()
"13392","Earth & Physical Sciences Building","Earth & Physical Sciences Building","05-16","Davis campus","05/10/2022","2022-05-10","2022-05-10","2022-05-16",list()
"13393","Earth & Physical Sciences Building","Earth & Physical Sciences Building","05-16","Davis campus","05/10/2022","2022-05-10","2022-05-10","2022-05-16",list()
"13394","Earth & Planetary Sciences","Earth & Planetary Sciences","06-14","Davis campus","06/13/2022","2022-06-13","2022-06-13","2022-06-14",list()
"14166","Earth and Planetary Sciences","Earth and Planetary Sciences","06-01","Davis campus","05/31/2022","2022-05-31","2022-05-31","2022-06-01",list()
"14167","Education Building","Education Building","08-15","Davis campus","08/12/2022","2022-08-12","2022-08-12","2022-08-15",list()
"14168","Edwards Family Athletics Center","Edwards Family Athletics Center","04-20","Davis campus","04/19/2022","2022-04-19","2022-04-19","2022-04-20",list()
"14169","Energy Conservation Center","Energy Conservation Center","04-07","Davis campus","04/05/2022","2022-04-05","2022-04-05","2022-04-07",list()
"14220","Environmental Services Facility","Environmental Services Facility","08-01","Davis campus","07/22/2022","2022-07-22","2022-07-22","2022-08-01",list()
"14221","Environmental Services Facility","Environmental Services Facility","08-01","Davis campus","07/22/2022","2022-07-22","2022-07-22","2022-08-01",list()
"14222","Environmental Services Facility","Environmental Services Facility","06-07","Davis campus","06/05/2022
 - 06/06/2022","2022-06-05","2022-06-06","2022-06-07",list()
"14223","Environmental Services Facility","Environmental Services Facility","06-07","Davis campus","06/05/2022
 - 06/06/2022","2022-06-05","2022-06-06","2022-06-07",list()
"14531","Facilities Maintenance Building","Facilities Maintenance Building","07-15","Davis campus","07/14/2022","2022-07-14","2022-07-14","2022-07-15",list()
"14532","Facilities Maintenance Building","Facilities Maintenance Building","07-15","Davis campus","07/14/2022","2022-07-14","2022-07-14","2022-07-15",list()
"14533","Facilities Maintenance Building","Facilities Maintenance Building","07-14","Davis campus","07/12/2022","2022-07-12","2022-07-12","2022-07-14",list()
"14534","Facilities Maintenance Building","Facilities Maintenance Building","07-14","Davis campus","07/12/2022","2022-07-12","2022-07-12","2022-07-14",list()
"14535","Facilities Management","Facilities Management","04-29","Davis campus","04/26/2022
 - 04/28/2022","2022-04-26","2022-04-28","2022-04-29",list()
"14536","Facilities Management","Facilities Management","04-29","Davis campus","04/26/2022
 - 04/28/2022","2022-04-26","2022-04-28","2022-04-29",list()
"14537","Facilities Management","Facilities Management","04-06","Davis campus","04/05/2022","2022-04-05","2022-04-05","2022-04-06",list()
"14538","Facilities Management","Facilities Management","04-06","Davis campus","04/05/2022","2022-04-05","2022-04-05","2022-04-06",list()
"14539","Facilities Management Building","Facilities Management Building","06-28","Davis campus","06/27/2022","2022-06-27","2022-06-27","2022-06-28",list()
"14540","Facilities Management Building","Facilities Management Building","06-07","Davis campus","06/07/2022","2022-06-07","2022-06-07","2022-06-07",list()
"14541","Facilities Management Building","Facilities Management Building","06-07","Davis campus","06/07/2022","2022-06-07","2022-06-07","2022-06-07",list()
"14542","Facilities Management Building","Facilities Management Building","06-28","Davis campus","06/27/2022","2022-06-27","2022-06-27","2022-06-28",list()
"14543","Facilities Management Building","Facilities Management Building","06-07","Davis campus","06/07/2022","2022-06-07","2022-06-07","2022-06-07",list()
"14544","Facilities Management Building","Facilities Management Building","06-01","Davis campus","05/31/2022","2022-05-31","2022-05-31","2022-06-01",list()
"14545","Facilities Management Building","Facilities Management Building","06-01","Davis campus","05/31/2022","2022-05-31","2022-05-31","2022-06-01",list()
"14546","Facilities Management Building","Facilities Management Building","06-28","Davis campus","06/27/2022","2022-06-27","2022-06-27","2022-06-28",list()
"14547","Facilities Management Building","Facilities Management Building","06-01","Davis campus","05/31/2022","2022-05-31","2022-05-31","2022-06-01",list()
"14568","Facilities Services Building","Facilities Services Building","08-09","Davis campus","08/05/2022","2022-08-05","2022-08-05","2022-08-09",list()
"14690","Fish Conservation and Culture Laboratory (FCCL)","Fish Conservation and Culture Laboratory (FCCL)","06-28","Off campus","06/23/2022
 - 06/24/2022","2022-06-23","2022-06-24","2022-06-28",list()
"14691","Fleet Services","Fleet Services","07-14","Davis campus","07/13/2022","2022-07-13","2022-07-13","2022-07-14",list()
"14692","Fleet Services","Fleet Services","09-29","Davis campus","09/23/2022","2022-09-23","2022-09-23","2022-09-29",list()
"14693","Fleet Services","Fleet Services","07-14","Davis campus","07/13/2022","2022-07-13","2022-07-13","2022-07-14",list()
"14694","Fleet Services","Fleet Services","09-29","Davis campus","09/23/2022","2022-09-23","2022-09-23","2022-09-29",list()
"14696","Foundation Plant Services","Foundation Plant Services","05-23","Davis campus","05/20/2022","2022-05-20","2022-05-20","2022-05-23",list()
"14697","Freeborn Hall - Lower","Freeborn Hall - Lower","05-18","Davis campus","05/18/2022","2022-05-18","2022-05-18","2022-05-18",list()
"17338","Gladys Valley Hall","Gladys Valley Hall","05-19","Davis campus","05/18/2022","2022-05-18","2022-05-18","2022-05-19",list()
"17339","Gladys Valley Hall","Gladys Valley Hall","05-19","Davis campus","05/18/2022","2022-05-18","2022-05-18","2022-05-19",list()
"17340","Gladys Valley Hall","Gladys Valley Hall","05-19","Davis campus","05/18/2022","2022-05-18","2022-05-18","2022-05-19",list()
"17341","Gladys Valley Hall","Gladys Valley Hall","06-01","Davis campus","05/31/2022","2022-05-31","2022-05-31","2022-06-01",list()
"17342","Gladys Valley Hall","Gladys Valley Hall","06-01","Davis campus","05/31/2022","2022-05-31","2022-05-31","2022-06-01",list()
"17343","Gladys Valley Hall","Gladys Valley Hall","06-01","Davis campus","05/31/2022","2022-05-31","2022-05-31","2022-06-01",list()
"17344","Gladys Valley Hall","Gladys Valley Hall","06-01","Davis campus","05/31/2022","2022-05-31","2022-05-31","2022-06-01",list()
"17345","Gladys Valley Hall","Gladys Valley Hall","03-29","Davis campus","03/28/2022","2022-03-28","2022-03-28","2022-03-29",list()
"17346","Gladys Valley Hall","Gladys Valley Hall","03-29","Davis campus","03/28/2022","2022-03-28","2022-03-28","2022-03-29",list()
"17347","Gladys Valley Hall","Gladys Valley Hall","03-29","Davis campus","03/28/2022","2022-03-28","2022-03-28","2022-03-29",list()
"17348","Gladys Valley Hall","Gladys Valley Hall","03-29","Davis campus","03/28/2022","2022-03-28","2022-03-28","2022-03-29",list()
"17349","Gladys Valley Hall","Gladys Valley Hall","04-05","Davis campus","04/04/2022","2022-04-04","2022-04-04","2022-04-05",list()
"17350","Gladys Valley Hall","Gladys Valley Hall","04-05","Davis campus","04/04/2022","2022-04-04","2022-04-04","2022-04-05",list()
"17351","Gladys Valley Hall","Gladys Valley Hall","04-05","Davis campus","04/04/2022","2022-04-04","2022-04-04","2022-04-05",list()
"17352","Gladys Valley Hall","Gladys Valley Hall","04-05","Davis campus","04/04/2022","2022-04-04","2022-04-04","2022-04-05",list()
"17353","Gladys Valley Hall","Gladys Valley Hall","05-19","Davis campus","05/18/2022","2022-05-18","2022-05-18","2022-05-19",list()
"17391","Gourley Hall","Gourley Hall","05-09","Davis campus","05/05/2022","2022-05-05","2022-05-05","2022-05-09",list()
"17392","Government and Community Relations","Government and Community Relations","07-06","Off campus","07/05/2022","2022-07-05","2022-07-05","2022-07-06",list()
"17393","Granite Canyon Laboratory, Monterey, CA","Granite Canyon Laboratory, Monterey, CA","08-05","Off campus","07-25
 - 08-04","2021-07-25","2021-08-04","2021-08-05",list()
"17439","Grounds","Grounds","04-21","Davis campus","04/20/2022","2022-04-20","2022-04-20","2022-04-21",list()
"17440","Grove Surge 3","Grove Surge 3","04-06","Davis campus","04/05/2022","2022-04-05","2022-04-05","2022-04-06",list()
"18371","Health Stadium","Health Stadium","06-13","Davis campus","06/10/2022
 - 06/11/2022","2022-06-10","2022-06-11","2022-06-13",list()
"18372","Health Stadium Press Box","Health Stadium Press Box","06-20","Davis campus","06/11/2022","2022-06-11","2022-06-11","2022-06-20",list()
"18373","Health Stadium Press Box","Health Stadium Press Box","06-14","Davis campus","06/11/2022
 - 06/12/2022","2022-06-11","2022-06-12","2022-06-14",list()
"18374","Health Stadium Press Box","Health Stadium Press Box","06-14","Davis campus","06/11/2022
 - 06/12/2022","2022-06-11","2022-06-12","2022-06-14",list()
"18375","Health Stadium Press Box","Health Stadium Press Box","06-20","Davis campus","06/11/2022","2022-06-11","2022-06-11","2022-06-20",list()
"25134","Hopkins Services Complex","Hopkins Services Complex","06-14","Davis campus","06/10/2022","2022-06-10","2022-06-10","2022-06-14",list()
"25135","Hopkins Services Complex","Hopkins Services Complex","06-14","Davis campus","06/10/2022","2022-06-10","2022-06-10","2022-06-14",list()
"25136","Hopkins Services Complex","Hopkins Services Complex","09-21","Davis campus","09/19/2022
 - 09/21/2022","2022-09-19","2022-09-21","2022-09-21",list()
"25137","Hopkins Services Complex","Hopkins Services Complex","09-21","Davis campus","09/19/2022
 - 09/21/2022","2022-09-19","2022-09-21","2022-09-21",list()
"25863","Hutchinson Hall","Hutchinson Hall","05-26","Davis campus","05/23/2022","2022-05-23","2022-05-23","2022-05-26",list()
"25864","Hutchinson Hall","Hutchinson Hall","05-25","Davis campus","05/24/2022","2022-05-24","2022-05-24","2022-05-25",list()
"25865","Hutchinson Hall","Hutchinson Hall","05-25","Davis campus","05/24/2022","2022-05-24","2022-05-24","2022-05-25",list()
"25866","Hutchinson Hall","Hutchinson Hall","05-25","Davis campus","05/24/2022","2022-05-24","2022-05-24","2022-05-25",list()
"25867","Hutchinson Hall","Hutchinson Hall","06-02","Davis campus","06/01/2022","2022-06-01","2022-06-01","2022-06-02",list()
"25868","Hutchinson Hall","Hutchinson Hall","05-26","Davis campus","05/23/2022","2022-05-23","2022-05-23","2022-05-26",list()
"25869","Hutchinson Hall","Hutchinson Hall","06-02","Davis campus","06/01/2022","2022-06-01","2022-06-01","2022-06-02",list()
"25870","Hutchinson Hall","Hutchinson Hall","05-26","Davis campus","05/23/2022","2022-05-23","2022-05-23","2022-05-26",list()
"25871","Hutchinson Hall","Hutchinson Hall","06-02","Davis campus","06/01/2022","2022-06-01","2022-06-01","2022-06-02",list()
"26098","IACUC Trailer","IACUC Trailer","08-17","Davis campus","08/16/2022","2022-08-16","2022-08-16","2022-08-17",list()
"26100","Indio Hall","Indio Hall","05-23","Davis campus","05/23/2022","2022-05-23","2022-05-23","2022-05-23",list()
"26101","Institute of Transportation Studies","Institute of Transportation Studies","05-16","Davis campus","05/13/2022","2022-05-13","2022-05-13","2022-05-16",list()
"26102","Internal Audit Services","Internal Audit Services","08-16","Davis campus","08/15/2022","2022-08-15","2022-08-15","2022-08-16",list()
"26153","Jackson Hall","Jackson Hall","07-19","Davis campus","07/18/2022","2022-07-18","2022-07-18","2022-07-19",list()
"26154","Jackson Hall","Jackson Hall","07-19","Davis campus","07/18/2022","2022-07-18","2022-07-18","2022-07-19",list()
"26155","Jackson Hall","Jackson Hall","04-18","Davis campus","04/14/2022","2022-04-14","2022-04-14","2022-04-18",list()
"26156","Jackson Hall","Jackson Hall","04-18","Davis campus","04/14/2022","2022-04-14","2022-04-14","2022-04-18",list()
"26587","Kenneth L. Maddy Laboratory","Kenneth L. Maddy Laboratory","05-12","Davis campus","05/09/2022","2022-05-09","2022-05-09","2022-05-12",list()
"26588","Kenneth Maddy Lab","Kenneth Maddy Lab","06-06","Davis campus","06/03/2022","2022-06-03","2022-06-03","2022-06-06",list()
"30770","Latitude Market","Latitude Market","05-26","Davis campus","05/25/2022","2022-05-25","2022-05-25","2022-05-26",list()
"30771","LGBTQIA Resource Center","LGBTQIA Resource Center","04-21","Davis campus","04/20/2022","2022-04-20","2022-04-20","2022-04-21",list()
"30772","Life Sciences Building, 2163","Life Sciences Building, 2163","07-13","Davis campus","07/11/2022
 - 07/13/2022","2022-07-11","2022-07-13","2022-07-13",list()
"30774","Math Sciences Building","Math Sciences Building","08-11","Davis campus","08/10/2022","2022-08-10","2022-08-10","2022-08-11",list()
"30909","Meat Laboratory, Cole Facility Building C","Meat Laboratory, Cole Facility Building C","06-03","Davis campus","06/01/2022","2022-06-01","2022-06-01","2022-06-03",list()
"30923","Medical Sciences 1 C","Medical Sciences 1 C","04-19","Davis campus","04/18/2022","2022-04-18","2022-04-18","2022-04-19",list()
"37440","Memorial Union Games","Memorial Union Games","04-25","Davis campus","04/21/2022","2022-04-21","2022-04-21","2022-04-25",list()
"38466","MIND Institute","MIND Institute","04-06","Davis city","04/04/2022","2022-04-04","2022-04-04","2022-04-06",list()
"38467","Mondavi Institute","Mondavi Institute","09-14","Davis campus","09/11/2022","2022-09-11","2022-09-11","2022-09-14",list()
